Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas,Latitud,Longitud,
Actuaría - Facultad de Ciencias,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,210. La asignación total de lugares para esta carrera fue de 695, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",Facultad de Ciencias: 109,Facultad de Ciencias: 9.00,Asignación total de 695 lugares (conjunto con FES Acatlán),"Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Sólidos conocimientos en álgebra, cálculo y geometría analítica. Manejo de programas de computación. Creatividad, gusto por el estudio, tenacidad y perseverancia para el análisis y solución de problemas.","Los actuarios son profesionistas que estudian, plantean, formulan y aplican modelos de contenido matemático con el fin de proveer información para la planeación, previsión y toma de decisiones, y para resolver problemas económicos y sociales que involucran riesgos.","actuaría, seguros, finanzas, demografía, estadística, matemáticas, riesgo","19,3243","-99,1796",
Actuaría - FES Acatlán,"FES Acatlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,210. La asignación total de lugares para esta carrera fue de 695, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",FES Acatlán: 97,FES Acatlán: 8.73,Asignación total de 695 lugares (conjunto con Facultad de Ciencias),"Haber cursado el Área de las Ciencias Físico-Matemáticas en bachillerato. Sólidos conocimientos en álgebra, cálculo y geometría analítica. Manejo de programas de computación. Creatividad, gusto por el estudio, tenacidad y perseverancia para el análisis y solución de problemas.","Los actuarios son profesionistas que estudian, plantean, formulan y aplican modelos de contenido matemático con el fin de proveer información para la planeación, previsión y toma de decisiones, y para resolver problemas económicos y sociales que involucran riesgos.","actuaría, seguros, finanzas, demografía, estadística, matemáticas, riesgo","19,5135","-99,2484",
Administración - FCA Escolarizada,"Facultad de Contaduría y Administración, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",FCA Escolarizada: 90,FCA Escolarizada: 8.11,"Asignación total de 2,539 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo","19,3285","-99,1882",
Administración - FCA Abierta,"Facultad de Contaduría y Administración (Sistema Abierto), Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",FCA Abierta: 78,FCA Abierta: 7.24,"Asignación total de 2,539 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo","19,3285","-99,1882",
Administración - FCA a Distancia,"Facultad de Contaduría y Administración (Modalidad a Distancia), Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",FCA a Distancia: 75,FCA a Distancia: 8.27,"Asignación total de 2,539 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo","19,3285","-99,1882",
Administración - FES Cuautitlán,"FES Cuautitlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",FES Cuautitlán: 60,FES Cuautitlán: 7.46,"Asignación total de 2,539 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo","19,6856","-99,1822",
Administración - Oaxaca,Facultad de Contaduría y Administración (Extensión Oaxaca),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 15,544. La asignación total de lugares para esta carrera fue de 2,539, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 53% del alumnado de primer ingreso son mujeres y 47% hombres.",Oaxaca: 45,Oaxaca: Información no disponible,"Asignación total de 2,539 lugares (conjunto todas las sedes)","Bases matemáticas, lectura y redacción, ciencias sociales, TIC, comprensión lectora en español y nociones de inglés. Habilidades de comunicación asertiva, trabajo colaborativo, creatividad, liderazgo, pensamiento analítico y adaptabilidad. Compromiso de servicio, responsabilidad.","En Administración se forman profesionistas con visión estratégica, ética y de compromiso social expertos en promover el logro eficiente de objetivos de organizaciones públicas, privadas y sociales en sus diferentes niveles jerárquicos.","administración, gestión, empresas, organizaciones, recursos humanos, finanzas, contabilidad, emprendimiento, liderazgo","17,0594","-96,7216",
Administración Agropecuaria - ENES León,"ENES Unidad León, Guanajuato",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 45. La asignación total de lugares para esta carrera fue de 26, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 50% del alumnado de primer ingreso son mujeres y 50% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.22,Cupo máximo de 40 alumnos,"Habilidades para la búsqueda, análisis y síntesis de información; conocimientos básicos de matemáticas y estadística; capacidad para comunicarse de manera oral y escrita; interés en elevar los niveles de vida de los productores del campo y sus familias.","Se forman profesionales capaces de detectar, analizar, emprender y administrar proyectos agrícolas, pecuarios, piscícolas, forestales y medioambientales, aplicando los principios y técnicas administrativas, financieras y mercadológicas.","administración, agropecuario, agricultura, ganadería, proyectos, desarrollo rural, sustentabilidad","21,0382","-101,6589",
Administración de Archivos y Gestión Documental - ENES Morelia (Distancia),"ENES Unidad Morelia, Michoacán (Modalidad a Distancia)",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 382. La asignación total de lugares para esta carrera fue de 164, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 59% del alumnado de primer ingreso son mujeres y 41% hombres.",ENES Morelia a Distancia: 51,ENES Morelia a Distancia: 8.53,Asignación total de 164 lugares (conjunto con FFyL),"Conocimientos de los contextos y procesos sociales, económicos y culturales de México. Habilidades de comprensión lectora, comunicación escrita e interacción social. Compromiso social y disposición para trabajar en equipo.","Para atender las necesidades actuales en materia de manejo, disponibilidad y uso de la documentación, surge la necesidad de contar con profesionales que utilizan la teoría y práctica archivística, y los instrumentos de la administración para optimizar recursos y servicios.","archivística, gestión documental, administración, archivos, documentos, información, preservación","19,649","-101,225",
Administración de Archivos y Gestión Documental - FFyL,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 382. La asignación total de lugares para esta carrera fue de 164, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 59% del alumnado de primer ingreso son mujeres y 41% hombres.",FFyL: 55,FFyL: 7.77,Asignación total de 164 lugares (conjunto con ENES Morelia),"Conocimientos de los contextos y procesos sociales, económicos y culturales de México. Habilidades de comprensión lectora, comunicación escrita e interacción social. Compromiso social y disposición para trabajar en equipo.","Para atender las necesidades actuales en materia de manejo, disponibilidad y uso de la documentación, surge la necesidad de contar con profesionales que utilizan la teoría y práctica archivística, y los instrumentos de la administración para optimizar recursos y servicios.","archivística, gestión documental, administración, archivos, documentos, información, preservación","19,3349","-99,1879",
